OpportunityId,AccountId,RepId,ProductId,CreatedDate,CloseDate,Stage,Amount,IsWon
30,49,10,1,2025-06-10,,Proposal,7400.0,False
31,91,18,2,2025-08-02,2025-09-05,Closed Lost,9100.0,False
32,59,11,2,2025-10-24,,Negotiation,6200.0,False
33,42,16,2,2024-12-30,2025-05-11,Closed Lost,17700.0,False
34,92,17,1,2025-01-10,,Qualified,5900.0,False
35,60,19,3,2025-10-11,2026-03-21,Closed Won,9200.0,True
36,80,18,3,2024-11-23,2025-04-18,Closed Lost,5200.0,False
37,15,3,1,2025-06-02,,Qualified,5800.0,False
38,62,16,2,2025-04-02,,Qualified,7800.0,False
39,62,6,3,2025-11-28,2026-02-16,Closed Won,5300.0,True
40,47,12,1,2026-02-18,,Negotiation,8500.0,False
41,62,11,3,2025-05-25,2025-10-21,Closed Lost,10100.0,False
42,51,15,1,2025-01-09,,Qualified,14000.0,False
43,55,15,2,2025-08-14,2026-01-09,Closed Won,4700.0,True
44,64,16,3,2024-09-14,2025-01-10,Closed Lost,8800.0,False
45,3,10,1,2025-05-19,2025-10-03,Closed Lost,7900.0,False
46,51,12,3,2025-07-21,2025-11-17,Closed Lost,3200.0,False
47,7,13,3,2024-11-15,2025-03-11,Closed Lost,4600.0,False
48,21,4,3,2024-09-22,2025-01-20,Closed Lost,10300.0,False
49,73,7,3,2025-04-19,2025-07-01,Closed Won,4100.0,True
50,39,2,1,2025-08-20,,Negotiation,7800.0,False
51,18,15,2,2025-09-15,2025-12-16,Closed Lost,2800.0,False
52,4,8,1,2025-06-17,2025-07-12,Closed Lost,7700.0,False
53,89,7,1,2025-08-28,2025-11-11,Closed Lost,2900.0,False
54,60,15,1,2024-11-29,2024-12-15,Closed Lost,6000.0,False
55,14,14,2,2024-10-08,2025-03-24,Closed Won,6500.0,True
56,9,8,3,2025-10-18,2026-03-14,Closed Lost,8600.0,False
57,90,12,3,2025-12-15,2026-04-28,Closed Won,7100.0,True
58,53,13,3,2024-10-23,2025-02-05,Closed Won,4400.0,True
59,2,11,2,2024-12-09,2025-01-16,Closed Lost,4400.0,False
60,84,17,3,2026-02-22,2026-06-20,Closed Won,3600.0,True
61,92,17,2,2024-12-19,,Qualified,9000.0,False
62,60,4,3,2025-09-08,2025-10-19,Closed Lost,8800.0,False
63,71,8,3,2025-09-18,,Qualified,11300.0,False
64,44,5,1,2024-10-13,2024-12-28,Closed Lost,6300.0,False
65,8,16,2,2025-06-07,,Proposal,3400.0,False
66,47,4,1,2025-07-25,2025-11-17,Closed Won,6900.0,True
67,35,15,1,2025-03-14,2025-09-08,Closed Won,8100.0,True
68,78,12,1,2025-04-17,,Qualified,4500.0,False
69,81,5,2,2025-09-08,2025-10-17,Closed Lost,4700.0,False
70,36,16,2,2025-01-05,2025-03-08,Closed Won,10200.0,True
71,50,14,3,2025-10-03,2026-03-22,Closed Won,8500.0,True
72,4,10,1,2026-01-12,,Qualified,14300.0,False
73,2,7,3,2025-08-19,2026-02-12,Closed Lost,19200.0,False
74,6,13,1,2025-09-07,2025-09-25,Closed Lost,3800.0,False
75,54,20,2,2025-05-03,,Qualified,6600.0,False
76,4,5,2,2025-12-12,2026-02-26,Closed Lost,8600.0,False
77,54,3,2,2024-12-14,,Qualified,9700.0,False
78,93,15,1,2024-09-11,2024-10-28,Closed Lost,13500.0,False
79,63,4,2,2026-02-01,,Proposal,11700.0,False
80,18,15,1,2025-01-14,2025-05-06,Closed Lost,14300.0,False
81,90,14,3,2025-03-18,2025-03-27,Closed Lost,8400.0,False
82,44,20,1,2026-02-04,2026-02-13,Closed Won,5900.0,True
83,34,19,3,2025-09-02,2025-12-01,Closed Lost,21500.0,False
84,74,13,1,2026-01-08,2026-06-19,Closed Lost,8700.0,False
85,62,10,3,2025-02-04,2025-07-11,Closed Lost,7200.0,False
86,100,5,2,2026-02-23,2026-08-18,Closed Lost,4700.0,False
87,14,20,3,2025-02-19,2025-06-12,Closed Lost,8800.0,False
88,95,20,2,2025-11-09,2026-05-02,Closed Lost,13400.0,False
89,48,6,2,2025-07-20,2025-12-07,Closed Won,6300.0,True
90,15,4,3,2026-01-07,2026-02-02,Closed Won,7600.0,True
91,72,2,1,2024-11-09,2025-04-03,Closed Lost,9200.0,False
92,78,16,1,2025-09-22,2026-01-02,Closed Lost,10300.0,False
93,87,18,1,2024-12-03,2025-04-12,Closed Lost,7100.0,False
94,62,5,1,2025-09-28,,Proposal,6700.0,False
95,40,4,1,2025-04-03,2025-04-30,Closed Lost,6300.0,False
96,85,13,2,2026-01-22,2026-05-22,Closed Lost,4700.0,False
97,80,19,1,2025-04-15,2025-05-04,Closed Lost,5500.0,False
98,82,2,2,2025-10-23,,Negotiation,5400.0,False
99,53,13,2,2024-12-16,2025-01-26,Closed Won,3700.0,True
100,24,11,2,2025-02-01,,Proposal,13300.0,False
101,26,4,3,2025-04-05,2025-09-14,Closed Lost,9700.0,False
102,89,20,3,2025-04-09,,Negotiation,8700.0,False
103,60,20,2,2025-02-20,2025-07-22,Closed Won,15600.0,True
104,41,15,3,2025-04-28,2025-10-10,Closed Won,11600.0,True
105,29,4,1,2025-07-06,2025-11-14,Closed Won,5500.0,True
106,15,9,1,2025-03-20,,Qualified,14600.0,False
107,45,7,2,2025-09-18,,Qualified,13200.0,False
108,65,19,1,2024-11-26,2024-12-23,Closed Won,4600.0,True
109,89,19,2,2024-11-16,2024-12-06,Closed Lost,12700.0,False
110,71,6,2,2025-10-11,2026-01-16,Closed Lost,6400.0,False
111,9,6,1,2025-09-20,2025-11-25,Closed Won,13300.0,True
112,88,20,3,2026-01-05,2026-05-15,Closed Lost,6800.0,False
113,1,15,1,2025-01-02,2025-01-31,Closed Won,6200.0,True
114,8,15,1,2025-07-02,,Qualified,6500.0,False
115,88,20,2,2025-03-31,2025-08-08,Closed Won,5000.0,True
116,63,9,2,2025-11-03,2026-04-15,Closed Lost,3900.0,False
117,11,4,2,2024-10-07,2024-11-12,Closed Lost,2300.0,False
118,81,18,2,2025-03-02,,Qualified,4800.0,False
119,8,18,3,2026-01-24,,Negotiation,30200.0,False
120,35,5,3,2025-09-05,2025-10-19,Closed Lost,10300.0,False
121,35,20,3,2025-07-22,,Proposal,20600.0,False
122,33,11,2,2024-09-30,,Negotiation,6900.0,False
123,5,5,2,2025-06-11,2025-09-29,Closed Won,6400.0,True
124,41,4,2,2025-01-31,2025-06-02,Closed Won,19100.0,True
125,28,12,3,2025-07-19,,Negotiation,9800.0,False
126,7,2,2,2024-12-04,2024-12-13,Closed Lost,5000.0,False
127,73,13,1,2025-01-30,2025-02-15,Closed Lost,11100.0,False
128,72,10,1,2024-10-15,2025-02-18,Closed Won,15100.0,True
129,12,9,2,2024-09-25,2025-02-23,Closed Won,4000.0,True
130,34,10,1,2025-04-21,,Qualified,10200.0,False
131,33,7,1,2024-12-13,2024-12-30,Closed Lost,4100.0,False
132,48,4,3,2025-07-06,2025-11-22,Closed Won,14700.0,True
133,23,19,2,2024-09-14,,Qualified,9100.0,False
134,62,10,2,2024-12-18,2025-02-26,Closed Lost,11100.0,False
135,88,3,3,2025-03-22,2025-04-11,Closed Won,7300.0,True
136,37,19,1,2025-10-14,,Proposal,3300.0,False
137,99,2,1,2024-12-13,2025-05-22,Closed Lost,6500.0,False
138,44,20,2,2024-10-05,2024-12-22,Closed Lost,12900.0,False
139,86,10,1,2024-12-28,2025-03-13,Closed Won,22000.0,True
140,91,2,3,2025-01-27,2025-06-17,Closed Won,9300.0,True
141,35,2,3,2025-09-20,,Negotiation,5700.0,False
142,65,17,2,2026-01-16,2026-02-07,Closed Lost,10600.0,False
143,99,16,3,2024-10-06,2024-12-29,Closed Won,12300.0,True
144,47,16,3,2024-12-08,2025-03-25,Closed Won,8700.0,True
145,78,14,2,2025-03-29,2025-05-30,Closed Lost,8400.0,False
146,3,7,3,2025-11-08,,Qualified,9000.0,False
147,1,11,3,2025-07-03,,Negotiation,8300.0,False
148,5,1,3,2025-02-15,,Qualified,9400.0,False
149,90,11,1,2025-04-07,2025-04-30,Closed Won,20200.0,True
150,14,4,2,2025-05-16,,Qualified,2900.0,False
151,27,7,2,2025-09-05,2026-02-22,Closed Won,7200.0,True
152,9,15,2,2025-12-24,,Negotiation,5100.0,False
153,79,18,1,2025-06-08,,Qualified,14600.0,False
154,15,12,1,2025-08-14,2025-11-21,Closed Lost,7600.0,False
155,90,17,2,2025-03-14,2025-04-27,Closed Lost,10700.0,False
156,42,1,1,2025-03-23,2025-07-08,Closed Lost,16500.0,False
157,77,11,2,2025-07-11,2025-09-17,Closed Won,4700.0,True
158,51,1,1,2025-02-19,,Proposal,6200.0,False
159,63,15,3,2026-01-03,2026-02-26,Closed Lost,15700.0,False
160,96,10,3,2025-07-08,2025-07-24,Closed Won,4600.0,True
161,52,7,2,2024-11-13,2024-12-25,Closed Lost,6300.0,False
162,96,2,1,2025-06-21,,Negotiation,3600.0,False
163,4,10,1,2025-05-11,2025-05-21,Closed Lost,16000.0,False
164,94,4,3,2025-03-10,2025-04-29,Closed Won,6100.0,True
165,23,12,3,2025-04-19,2025-06-20,Closed Won,9700.0,True
166,15,19,1,2025-06-13,2025-07-31,Closed Won,11400.0,True
167,43,11,1,2026-01-16,2026-05-16,Closed Won,5400.0,True
168,29,8,1,2025-09-22,,Qualified,3100.0,False
169,36,18,1,2025-01-07,2025-06-23,Closed Lost,7300.0,False
170,13,11,1,2024-12-29,2025-01-25,Closed Won,7200.0,True
171,32,11,1,2024-10-10,2025-01-03,Closed Won,7900.0,True
172,71,13,2,2025-06-11,2025-08-25,Closed Won,7900.0,True
173,59,3,1,2026-02-09,2026-04-26,Closed Lost,6300.0,False
174,86,12,3,2025-06-29,2025-09-10,Closed Won,6200.0,True
175,28,3,2,2026-02-10,2026-04-05,Closed Lost,9400.0,False
176,66,10,1,2025-04-13,2025-09-27,Closed Won,5400.0,True
177,42,17,3,2025-03-19,2025-04-30,Closed Won,7700.0,True
178,45,2,2,2024-11-24,,Qualified,6100.0,False
179,62,17,3,2025-07-15,2025-12-27,Closed Lost,9400.0,False
180,57,16,1,2025-04-04,,Negotiation,14100.0,False
181,6,2,1,2024-09-02,,Qualified,14400.0,False
182,28,20,1,2025-07-17,2025-10-03,Closed Lost,15400.0,False
183,28,6,1,2024-09-03,,Proposal,6900.0,False
184,44,10,2,2024-09-26,2025-01-06,Closed Lost,7200.0,False
185,84,10,2,2025-11-12,2026-03-26,Closed Won,4300.0,True
186,30,8,3,2025-11-17,2025-12-19,Closed Won,6800.0,True
187,62,1,1,2025-03-30,2025-06-10,Closed Won,7000.0,True
188,75,13,3,2025-11-06,2026-04-01,Closed Lost,6000.0,False
189,92,9,2,2026-02-08,2026-03-08,Closed Won,5900.0,True
190,89,10,1,2025-04-08,2025-05-01,Closed Lost,3500.0,False
191,62,15,1,2025-08-01,2025-08-14,Closed Won,4100.0,True
192,97,5,2,2024-11-10,2025-03-03,Closed Won,8300.0,True
193,1,16,2,2025-08-10,2025-10-23,Closed Lost,8400.0,False
194,27,13,2,2025-09-22,2026-02-03,Closed Lost,10300.0,False
195,62,20,2,2025-06-08,2025-07-21,Closed Lost,7100.0,False
196,77,18,2,2025-11-20,2026-01-03,Closed Lost,8200.0,False
197,3,11,1,2024-12-28,2025-04-09,Closed Lost,15100.0,False
198,70,9,2,2026-02-16,,Negotiation,7900.0,False
199,72,16,1,2025-08-16,,Proposal,5900.0,False
200,27,2,1,2026-01-31,2026-07-09,Closed Lost,4500.0,False
201,9,2,2,2025-07-01,,Qualified,12100.0,False
202,62,12,2,2024-11-05,2025-04-12,Closed Won,3500.0,True
203,37,8,1,2026-02-19,2026-04-29,Closed Lost,5300.0,False
204,97,9,2,2025-03-06,,Proposal,10000.0,False
205,51,12,2,2024-09-20,2024-10-04,Closed Lost,3100.0,False
206,44,9,2,2024-09-07,,Negotiation,6000.0,False
207,24,10,3,2025-10-19,2025-11-21,Closed Won,8600.0,True
208,79,2,1,2025-10-01,2025-11-28,Closed Lost,6700.0,False
209,59,16,3,2026-02-04,2026-07-06,Closed Lost,5000.0,False
210,32,20,2,2024-11-07,2025-02-12,Closed Won,6000.0,True
211,96,7,3,2025-04-08,2025-07-09,Closed Lost,12200.0,False
212,88,2,2,2025-06-15,2025-07-07,Closed Lost,20200.0,False
213,52,1,3,2026-01-14,,Qualified,8700.0,False
214,62,19,2,2026-02-11,2026-02-22,Closed Lost,3000.0,False
215,58,4,3,2025-07-14,2025-10-10,Closed Won,10800.0,True
216,52,2,3,2025-08-20,2026-01-04,Closed Won,6600.0,True
217,12,14,3,2025-08-16,,Qualified,4700.0,False
218,39,2,1,2025-07-12,2025-10-07,Closed Lost,5400.0,False
219,2,15,3,2025-07-14,2025-09-28,Closed Won,5500.0,True
220,3,12,1,2025-02-03,,Negotiation,4000.0,False
221,56,5,2,2025-11-20,2025-12-03,Closed Lost,7900.0,False
222,81,20,3,2025-01-22,2025-03-19,Closed Won,20200.0,True
223,59,7,2,2024-12-27,,Proposal,4700.0,False
224,2,10,2,2025-03-03,,Qualified,19900.0,False
225,2,14,3,2026-02-03,2026-05-31,Closed Lost,9000.0,False
226,92,14,1,2024-09-01,2024-10-24,Closed Won,7700.0,True
227,54,5,3,2024-11-22,,Negotiation,6900.0,False
228,87,18,2,2025-01-08,2025-06-24,Closed Lost,5400.0,False
229,96,14,2,2025-12-16,,Proposal,9400.0,False
230,97,2,3,2025-11-14,2026-02-19,Closed Won,10500.0,True
231,1,12,1,2025-07-21,2025-08-25,Closed Lost,2400.0,False
232,19,6,1,2025-07-28,2025-12-09,Closed Won,28900.0,True
233,2,4,2,2024-10-13,,Negotiation,3300.0,False
234,53,13,2,2025-12-01,,Qualified,6200.0,False
235,44,4,1,2025-12-10,2026-04-12,Closed Lost,2300.0,False
236,90,14,3,2025-09-27,,Proposal,7100.0,False
237,32,16,2,2025-11-04,2026-03-20,Closed Lost,6400.0,False
238,70,4,1,2026-01-13,2026-03-30,Closed Lost,6300.0,False
239,32,1,2,2025-01-22,,Proposal,9400.0,False
240,68,13,3,2026-01-18,,Qualified,7200.0,False
241,55,4,1,2026-01-07,,Negotiation,10600.0,False
242,75,20,2,2024-08-28,,Qualified,4400.0,False
243,56,18,3,2026-01-04,2026-04-09,Closed Lost,8400.0,False
244,17,6,2,2024-12-18,2025-05-10,Closed Lost,5900.0,False
245,38,3,3,2025-12-20,,Qualified,6700.0,False
246,24,13,3,2025-12-03,2026-05-29,Closed Lost,9300.0,False
247,69,16,1,2025-01-30,2025-05-16,Closed Won,6300.0,True
248,98,5,3,2025-05-19,2025-10-01,Closed Lost,7700.0,False
249,70,4,2,2024-10-17,2024-12-19,Closed Lost,4500.0,False
250,86,8,3,2025-04-07,,Qualified,14000.0,False
251,11,19,3,2025-01-18,2025-03-16,Closed Won,11700.0,True
252,16,14,1,2024-10-07,,Qualified,8500.0,False
253,97,7,3,2025-01-13,2025-05-03,Closed Won,7200.0,True
254,73,14,3,2025-07-28,2025-12-08,Closed Lost,7700.0,False
255,59,6,2,2025-10-09,2025-12-09,Closed Lost,13900.0,False
256,70,12,1,2026-01-24,2026-01-31,Closed Won,11300.0,True
257,80,16,1,2025-08-01,2025-11-05,Closed Won,14000.0,True
258,93,17,1,2025-09-13,2026-02-22,Closed Lost,6800.0,False
259,3,13,3,2025-12-08,2026-02-05,Closed Lost,10300.0,False
260,20,14,1,2025-05-24,2025-08-11,Closed Won,14700.0,True
261,59,7,3,2025-08-10,2025-12-02,Closed Won,5100.0,True
262,36,14,3,2024-10-27,2025-04-01,Closed Won,4900.0,True
263,19,15,2,2024-11-09,2024-11-23,Closed Lost,9300.0,False
264,90,12,2,2025-03-12,2025-04-29,Closed Won,4400.0,True
265,67,17,2,2024-12-13,,Qualified,3300.0,False
266,19,9,2,2024-11-21,2025-05-13,Closed Lost,14600.0,False
267,20,15,2,2025-01-10,,Negotiation,15900.0,False
268,96,12,3,2025-06-07,,Qualified,4500.0,False
269,71,2,3,2025-10-07,2026-01-06,Closed Lost,4000.0,False
270,52,5,1,2025-09-03,,Qualified,5800.0,False
271,33,13,3,2025-09-10,2025-10-10,Closed Lost,15200.0,False
272,40,20,3,2025-01-21,,Negotiation,6600.0,False
273,39,8,2,2025-07-07,,Negotiation,8500.0,False
274,82,14,3,2025-08-26,2025-11-06,Closed Lost,9500.0,False
275,1,15,2,2025-11-27,2026-04-24,Closed Won,8800.0,True
276,11,11,1,2024-09-03,2024-11-01,Closed Lost,17100.0,False
277,92,1,1,2025-01-25,2025-07-10,Closed Lost,5700.0,False
278,57,3,3,2025-12-12,2026-04-03,Closed Lost,7700.0,False
279,89,17,1,2025-09-27,2026-01-07,Closed Lost,9100.0,False
280,50,19,3,2025-02-15,2025-04-01,Closed Lost,7900.0,False
281,23,14,1,2025-07-29,2026-01-19,Closed Lost,4400.0,False
282,31,8,2,2024-10-18,,Negotiation,3900.0,False
283,94,13,2,2025-11-13,,Qualified,3800.0,False
284,42,20,2,2025-03-13,2025-07-01,Closed Won,11700.0,True
285,99,3,2,2025-03-12,2025-06-03,Closed Won,5400.0,True
286,7,5,3,2025-07-18,2025-08-01,Closed Lost,10200.0,False
287,16,9,1,2025-08-20,2025-09-21,Closed Lost,8500.0,False
288,90,6,3,2025-11-19,,Qualified,5000.0,False
289,60,2,2,2025-08-13,2025-10-01,Closed Won,5000.0,True
290,2,13,3,2025-03-26,2025-07-20,Closed Lost,8700.0,False
291,1,5,1,2024-09-14,,Qualified,8400.0,False
292,48,8,3,2025-01-24,,Negotiation,10400.0,False
293,12,1,1,2025-02-24,2025-04-20,Closed Lost,6400.0,False
294,69,20,3,2025-04-28,2025-08-27,Closed Won,5300.0,True
295,37,12,1,2025-01-03,2025-06-13,Closed Lost,8600.0,False
296,32,11,1,2025-07-09,2025-11-29,Closed Won,16500.0,True
297,9,7,2,2025-09-16,,Negotiation,3200.0,False
298,99,15,1,2025-10-30,2026-01-09,Closed Won,5400.0,True
299,19,11,2,2024-09-13,2024-11-29,Closed Won,10900.0,True
300,48,16,2,2024-12-25,,Qualified,9000.0,False
301,80,3,2,2024-11-09,,Qualified,11000.0,False
302,3,20,3,2024-10-12,,Qualified,6500.0,False
303,20,14,3,2025-02-14,2025-07-08,Closed Lost,3600.0,False
304,24,3,3,2025-05-02,2025-08-17,Closed Lost,18700.0,False
305,54,1,3,2025-04-25,2025-08-04,Closed Lost,13900.0,False
306,33,15,1,2024-12-06,2025-03-09,Closed Won,8000.0,True
307,24,1,1,2025-03-03,2025-06-08,Closed Won,5300.0,True
308,75,17,3,2025-07-04,2025-10-21,Closed Lost,6300.0,False
309,72,2,1,2025-06-20,2025-10-30,Closed Lost,9100.0,False
310,36,20,1,2026-02-21,,Proposal,7100.0,False
311,38,6,2,2025-05-17,2025-09-13,Closed Lost,8000.0,False
312,84,8,2,2025-02-08,,Qualified,18100.0,False
313,99,16,2,2025-11-20,2026-02-22,Closed Lost,12900.0,False
314,89,19,2,2025-06-10,,Proposal,4500.0,False
315,99,1,1,2025-01-10,2025-07-05,Closed Won,8400.0,True
316,25,3,3,2025-01-15,,Qualified,6200.0,False
317,93,3,1,2025-10-21,2026-01-26,Closed Won,9400.0,True
318,18,5,1,2025-07-02,2025-07-11,Closed Lost,7900.0,False
319,82,12,1,2025-02-22,,Negotiation,35700.0,False
320,66,12,2,2024-12-28,2025-03-25,Closed Lost,10000.0,False
321,54,20,2,2025-06-05,2025-11-17,Closed Lost,7600.0,False
322,35,13,2,2025-05-02,,Qualified,20400.0,False
323,80,20,3,2025-09-12,,Negotiation,9000.0,False
324,61,9,1,2025-04-09,2025-08-19,Closed Won,3800.0,True
325,41,7,3,2025-05-20,2025-09-16,Closed Won,7600.0,True
326,100,4,2,2025-10-11,2026-03-15,Closed Lost,11000.0,False
327,33,19,3,2025-03-08,2025-06-22,Closed Lost,10300.0,False
328,68,19,1,2025-07-11,,Qualified,13400.0,False
329,33,6,1,2024-10-17,2025-01-18,Closed Won,8800.0,True
330,14,13,2,2025-03-13,2025-06-16,Closed Won,8400.0,True
331,21,11,2,2025-01-07,,Qualified,4000.0,False
332,48,13,3,2025-10-18,2025-11-13,Closed Won,17400.0,True
333,20,13,2,2024-10-18,2025-02-14,Closed Lost,7000.0,False
334,8,20,2,2024-11-01,2024-12-26,Closed Won,5000.0,True
335,7,15,1,2025-08-29,2026-01-17,Closed Lost,30200.0,False
336,67,13,2,2026-01-18,2026-02-22,Closed Lost,18800.0,False
337,17,11,2,2024-11-14,2025-01-07,Closed Lost,6500.0,False
338,33,19,1,2024-10-04,2024-10-23,Closed Won,3200.0,True
339,48,8,1,2025-01-02,2025-01-11,Closed Won,5700.0,True
340,76,20,3,2025-09-21,2025-09-29,Closed Won,17800.0,True
341,59,8,2,2024-10-26,2024-11-17,Closed Won,8900.0,True
342,86,10,1,2025-06-08,2025-09-16,Closed Lost,4100.0,False
343,22,16,3,2025-09-02,2025-12-19,Closed Lost,12000.0,False
344,30,19,3,2025-12-02,2026-04-21,Closed Lost,7300.0,False
345,38,11,2,2025-03-23,2025-05-13,Closed Lost,5900.0,False
346,51,13,2,2025-01-17,2025-04-04,Closed Won,6100.0,True
347,54,9,3,2025-12-06,2026-04-24,Closed Won,15600.0,True
348,8,20,1,2025-01-18,,Negotiation,10700.0,False
349,27,19,3,2024-11-18,2025-03-31,Closed Won,3900.0,True
350,27,16,2,2025-07-12,,Negotiation,9700.0,False
351,98,7,1,2025-09-22,,Qualified,8600.0,False
352,21,19,1,2025-09-30,2025-10-19,Closed Lost,6600.0,False
353,30,12,3,2024-11-12,2025-04-25,Closed Won,6700.0,True
354,97,15,2,2025-06-04,,Negotiation,5300.0,False
355,28,14,3,2025-09-08,2025-11-13,Closed Lost,5800.0,False
356,64,11,3,2025-05-19,,Negotiation,9400.0,False
357,97,10,3,2025-06-10,2025-11-19,Closed Lost,7100.0,False
358,69,11,1,2025-11-18,2026-01-21,Closed Lost,10600.0,False
359,61,6,1,2024-09-15,2024-10-11,Closed Lost,5500.0,False
360,48,2,2,2025-06-29,2025-12-14,Closed Lost,11500.0,False
361,19,11,2,2025-11-26,2026-04-14,Closed Won,15600.0,True
362,4,19,3,2025-03-18,2025-09-11,Closed Lost,8100.0,False
363,35,6,3,2025-11-03,,Proposal,10500.0,False
364,64,14,3,2026-02-11,,Proposal,10700.0,False
365,49,20,2,2025-07-24,2025-11-19,Closed Lost,6300.0,False
366,17,6,1,2025-10-18,,Proposal,10700.0,False
367,44,17,1,2025-07-09,,Proposal,2600.0,False
368,92,10,3,2026-01-01,,Qualified,2100.0,False
369,30,1,3,2025-02-01,2025-05-02,Closed Lost,6900.0,False
370,93,3,3,2026-02-14,,Negotiation,11100.0,False
371,46,8,3,2025-02-03,2025-06-07,Closed Lost,7800.0,False
372,6,8,2,2025-06-13,2025-08-06,Closed Lost,11800.0,False
373,99,20,1,2024-10-03,,Qualified,4400.0,False
374,37,15,3,2025-06-03,2025-09-27,Closed Lost,12600.0,False
375,24,7,2,2025-09-13,2025-09-25,Closed Lost,18300.0,False
376,93,11,3,2025-01-07,,Qualified,5700.0,False
377,46,7,3,2025-02-25,2025-05-20,Closed Won,11900.0,True
378,53,4,1,2025-10-27,,Proposal,8200.0,False
379,95,12,3,2025-10-12,,Negotiation,10100.0,False
380,99,6,1,2025-10-22,2026-01-20,Closed Won,18300.0,True
381,60,14,1,2025-10-12,2025-10-31,Closed Lost,9500.0,False
382,97,12,1,2024-09-17,,Proposal,11900.0,False
383,63,11,2,2025-08-28,2025-10-17,Closed Won,4300.0,True
384,85,19,2,2025-09-11,,Negotiation,11700.0,False
385,32,5,1,2024-10-17,,Qualified,18100.0,False
386,87,14,3,2025-05-02,2025-10-09,Closed Lost,5100.0,False
387,33,16,1,2024-12-06,2024-12-26,Closed Lost,6900.0,False
388,67,13,3,2024-12-30,,Negotiation,11400.0,False
389,18,20,1,2025-09-02,2025-10-14,Closed Won,10100.0,True
390,25,4,3,2025-06-26,2025-07-10,Closed Lost,4100.0,False
391,95,11,2,2024-11-21,,Qualified,8800.0,False
392,54,17,3,2025-09-19,,Proposal,6900.0,False
393,58,7,1,2026-02-07,2026-03-01,Closed Lost,5000.0,False
394,67,14,2,2024-12-10,2025-03-17,Closed Lost,16000.0,False
395,46,11,3,2025-07-28,2025-12-01,Closed Won,8100.0,True
396,24,9,3,2025-08-13,,Negotiation,13200.0,False
397,32,13,3,2025-02-06,,Negotiation,4500.0,False
398,47,18,3,2025-11-17,,Negotiation,10900.0,False
399,86,11,3,2024-12-05,2025-01-11,Closed Lost,13800.0,False
400,23,15,2,2025-01-19,,Qualified,7200.0,False
401,66,19,2,2025-01-15,,Qualified,6300.0,False
402,27,1,2,2025-06-17,2025-07-26,Closed Won,4200.0,True
403,2,4,2,2025-02-05,2025-03-14,Closed Won,5200.0,True
404,90,14,1,2024-10-09,,Qualified,6500.0,False
405,17,14,2,2025-04-18,2025-05-30,Closed Lost,5000.0,False
406,33,3,3,2024-08-29,2025-01-14,Closed Lost,5500.0,False
407,9,17,3,2025-11-29,2026-02-11,Closed Won,8800.0,True
408,43,3,2,2025-11-18,2026-02-22,Closed Lost,9300.0,False
409,48,16,3,2025-08-28,2026-01-13,Closed Lost,14000.0,False
410,39,14,2,2026-02-22,2026-03-09,Closed Lost,5500.0,False
411,93,20,3,2025-12-22,,Proposal,8200.0,False
412,42,13,1,2025-03-21,,Proposal,6600.0,False
413,26,15,1,2025-02-03,,Proposal,6300.0,False
414,99,14,2,2024-12-25,2025-01-04,Closed Won,6900.0,True
415,50,19,2,2025-07-25,,Qualified,7300.0,False
416,25,6,2,2025-03-02,,Negotiation,9200.0,False
417,24,10,3,2025-03-24,2025-04-15,Closed Lost,6900.0,False
